file,ground_truth,predicted,confidence,is_correct,reasons
Ashishkumar - MAY 2021.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - December2021.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - August 2022.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - September 2024.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - September 2024.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - March 2024.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - September 2021.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - September 2023.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - August 2023.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - December 2023.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - August 2022.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - November 2023.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - February 2024.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - December 2023.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - March 2024.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - August 2023.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - December 2021.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - August 2024.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - August 2024.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - September 2023.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - April 2022.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar -August 2021.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
AUG 21.pdf,Bank Statement,Bank Statement,1.0,True,"Filename matches pattern: [A-Z]{3}\s+\d{2}\.pdf; Folder matches pattern: .*[Ss]tatement.*; Keywords matched: account no, a/c, opening balance, closing balance"
APR 21.pdf,Bank Statement,Bank Statement,1.0,True,"Filename matches pattern: [A-Z]{3}\s+\d{2}\.pdf; Folder matches pattern: .*[Ss]tatement.*; Keywords matched: account no, a/c, opening balance, closing balance"
APR 22.pdf,Bank Statement,Bank Statement,1.0,True,"Filename matches pattern: [A-Z]{3}\s+\d{2}\.pdf; Folder matches pattern: .*[Ss]tatement.*; Keywords matched: account no, a/c, opening balance, closing balance"
17605 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17625 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17638 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17643 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17632 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17632  N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17601 .pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NAMO GREEN RANJANGAON LEDGER sep 24.pdf,Tax Invoice,Ledger,0.8,False,"Filename matches pattern: .*[Ll]edger.*; Keywords matched: debit note, debit no"
17625 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17631 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17612 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17615 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17639 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17633  N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17613 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17605 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17604 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17639 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17640 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
CHALLAN COPY  SERUM PUNE .pdf,Tax Invoice,Tax Invoice,0.95,True,"Filename matches pattern: .*[Cc]hallan.*; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17633  N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
CHALLAN PEPSICO 13-1.pdf,Tax Invoice,Tax Invoice,0.95,True,"Filename matches pattern: .*[Cc]hallan.*; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17611 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17607 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17613 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17619 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17619 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
CHALLAN COPY  SERUM PUNE.pdf,Tax Invoice,Tax Invoice,0.95,True,"Filename matches pattern: .*[Cc]hallan.*; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17623 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17624 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17642 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17624 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17632 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17608 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17610 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17643 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17638 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17640 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17607 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17608 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17626  N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
VAPI DC 17657.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
17611 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
CHALLAN COPY  PEPSICO RANJANGAON .pdf,Tax Invoice,Tax Invoice,0.95,True,"Filename matches pattern: .*[Cc]hallan.*; Keywords matched: tax invoice, gstin, pan, hsn, sac"
CHALLAN COPY  PEPSICO RANJANGAON .xlsx,Tax Invoice,Tax Invoice,0.95,True,"Filename matches pattern: .*[Cc]hallan.*; Keywords matched: tax invoice, gstin, pan, hsn, sac"
NAMO GREEN SERUM LEDGER sep 24.pdf,Tax Invoice,Ledger,0.8,False,"Filename matches pattern: .*[Ll]edger.*; Keywords matched: debit note, debit no"
CHALLAN COPY  SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,0.95,True,"Filename matches pattern: .*[Cc]hallan.*; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17602 .pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
17604 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17623 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17632  N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17612 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17631 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
NAMO GREEN SEZ LEDGER sep 24.pdf,Tax Invoice,Ledger,1.0,False,"Filename matches pattern: .*[Ll]edger.*; Keywords matched: ledger, ledger account"
17634 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
VAPI DC 17657.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
17634 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17606 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17626  N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17610 N.J. SERUM PUNE .xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17642 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
17606 N.J. SERUM PUNE .pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28023.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
DC 28003.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
DC 28023.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
DC 28003.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28032.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28023.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
28027 NGE-N.J. SERUM PUNE.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.xlsx; Keywords matched: tax invoice, gstin, pan, hsn, sac"
DC 28008.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28033.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28033.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28032.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
28027 NGE-N.J. SERUM PUNE.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: \d{5}.*[Ss]erum.*\.pdf; Keywords matched: tax invoice, gstin, pan, hsn, sac"
~$28027 NBF-N.J. SERUM PUNE.xlsx,Tax Invoice,Unknown,0.0,False,No detection methods matched
DC 28008.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28023-2.xlsx,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
NGE SERUM DC 28023-2.pdf,Tax Invoice,Tax Invoice,0.95,True,"Keywords matched: tax invoice, gstin, pan, hsn, sac"
N.J. Pepsi Invoice 162-17622.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 140.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 133.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 154.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 164-17624.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 130.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 137.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 163-17623.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 135.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 134.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 143.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 156-17618.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 137.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 144.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 133.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 150.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 145.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 152.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 146.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 162-17622.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 153.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 152.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 146.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 153.xlsx,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.xlsx; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Pepsi Invoice 143.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
N.J. Invoice 166-17626.pdf,Tax Invoice,Tax Invoice,1.0,True,"Filename matches pattern: .*[Ii]nvoice.*\.pdf; Keywords matched: tax invoice, invoice no, gstin, cgst, sgst, total amount, taxable amount"
